id,busNumber,description,stops
134,41A,State Bank to Chelairpadavu,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Kuloor;Baikampady;Surathkal;Krishnapur;Katipalla;Chelairpadavu
135,42,State Bank to Talapady,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Kotekar;Beeri;Talapady
136,43B,State Bank to Kinya,State Bank;Jyoti;Pumpwell;Thokottu;K C Road;Talapady;Olavinahalli;Kinya
137,44,State Bank to Amrithnagar,State Bank;Jyoti;Pumpwell;Thokottu;Kumpala;Amrithnagar
138,44A,State Bank to Someshwar,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Ullal;Someshwar
139,44B,State Bank to Eliyar Padavu,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Kotekar;Eliyar Padavu
140,44C,State Bank to Ullal Launch Jetty,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Ullal;Ullal Launch Jetty
141,44D,State Bank to Kotepura,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Ullal;Kotepura
142,44E,Amrithnagar to Nehru Circle,Amrithnagar;Moorukatte;Kumpala;Thokottu;Jeppu Market;Mulihithlu;Lewell;Yemmekere;Nehru Circle
143,44G,Kankanady to Madaka,Kankanady;Pumpwell;Thokottu;Kuttarpadav;Deralakatte;Mallar;Madaka
144,44I,Amrithnagar to Surathkal,Amrithnagar;Moorukatte;Kumpala cross;Thokottu;Pumpwell;Jyoti;Bunts Hostel;Kadri;Temple;Lady Hill;Surathkal
145,44J,Nehru Circle to Someshwar,Nehru Circle;Yemmekere;Mangaldevi;Thokottu;Ullal;Someshwar
146,44K,Someshwar to Konaje,Someshwar;Ombathukere;Thokottu;Kuthar Padav;Deralakatte;Assaigoli;Konaje
147,44M,State Bank to Elyarpadav,State Bank;Jyoti;Pumpwell;Deralakatte;Ranipura;Elyarpadav
148,44N,Kankanady to Inoli Temple,Kankanady;Pumpwell;Thokottu;Elyarpadav;Gramchavadl;Malar School;Inoli Temple
149,44P,Someshwar to Pavoor,Someshwar;Ullal;Thokottu;Gramachavadi;Inoli Padav;Harekala;Pavoor
150,45,State Bank to Katipalla,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla
151,45A,State Bank to Chokkabettu,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Chokkabettu
152,45B,State Bank to Chokkabettu,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Chokkabettu
153,45C,State Bank to Kaikamba,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Mangalpete;Kaikamba
154,45D,State Bank to Kuthethur,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Mangalpete;MRPL;Kuthethur
155,45E,State Bank to Kaithakurneri,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Mangalpete;MRPL;Kaithakurneri
156,45F,State Bank to Kaikamba,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Kaikamba
157,45G,State Bank to Janatha Colony,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Mason Road;Janatha Colony
158,45H,State Bank to Madhyapadavu,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Madhyapadavu
159,47,State Bank to Bajpe,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Saibeen Complex;Bharat Mall;KSRTC Bus Stand;Kapikad;Balebail;Kottara Cross;Kuntikana;Kavoor;Maravoor;Bajpe
160,47A,State Bank to Bajpe,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Saibeen Complex;Bharat Mall;KSRTC Bus Stand;Kapikad;Balebail;Kottara Cross;Kuntikana;Kavoor;Maravoor;Bajpe
161,47B,State Bank to Adyapady (Bajpe),State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Saibeen Complex;Bharat Mall;KSRTC Bus Stand;Kapikad;Balebail;Kottara Cross;Kuntikana;Kavoor;Maravoor;Bajpe;Bajpe Aerodrome
162,47C,State Bank to Kathalsar,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Saibeen Complex;Bharat Mall;KSRTC Bus Stand;Kapikad;Balebail;Kottara Cross;Kuntikana;Kavoor;Maravoor;Bajpe;Bajpe Aerodrome;Bhatrakere;Kattalsara
163,47D,Bajpe to Kankanady,Bajpe;Kavoor;Batrakere;Adyapadi;Markada;Kavoor;Kuntikana;KSRTC;Nanthoor;Kankanady
164,47F,Mangaldevi to Bajpe,Mangaldevi;Nandigudde;Valencia;Jyoti;PVS;Lady Hill;Kavoor;Markada;Kenjaru;Porkodi;Bajpe
165,51,State Bank to Konaje,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Deralakatte;Mangalore University;Konaje
166,51A,State Bank to Inoli,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Deralakatte;Mangalore University;Konaje;Inoli
167,51B,Kottara to Konaje,Kottara;Urwa Stores;Lady Hill;PVS;Jyoti;Kankanady;Pumpwell;Thokottu;Kotekar;Madoor;Deralakatte;Konaje
168,51C,Konaje to MRPL,Konaje;Thokottu;Kulur;MRPL
169,51D,Kottara to Inolipadav,Kottara;Kankanady;Thokottu;Inolipadav
170,51E,State Bank to Hoohakuvakallu,State Bank;Jyoti;Kankanady;Pumpwell;Thokottu;Konaje;Mudipu;Hoohakuvakallu
171,51G,Baikampady to Dharmanagar,Baikampady;Panambur;Lalbagh;Nanthoor;Thokottu;Konaje;Inolipadavu;Dharmanagar
172,51K,Kinya to Kankanady,Kinya;Gorigudda;Thokottu;Kankanady
173,51T,Talapady to Thokottu,Talapady;Deralakatte;Kuttharpadavu;Thokottu
174,53,State Bank to Tibar,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Chilimbi;Urwa Store;Kottara Chowki;Kuloor;Panambur;Surathkal;Kana;Krishnapur;Katipalla;Soorinje;Tibar
175,53A,Kankanady to Tibar,Kankanady;Pumpwell;Nanthoor;Kadri;Kuloor;Surathkal;Chokkabettu;Katipalla;Soorinje;Tibar
176,53B,C.F. Colony to Shibaroor,C.F. Colony;Kulur;Surathkal;Katipalla;Shibaroor
177,53C,Mangaldevi to Delanthabettu,Mangaldevi;Nandigudde;Kankanady;Nanthoor;Lady Hill;Surathkal;Bala;Soorinje;Delanthabettu
178,53D,Porkodi to Shibaroor,Porkodi;Surathkal;Katipalla;Shibaroor
179,54,State Bank to Thaudugoli,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Beeri;Maddur;Natekal;Manjanady;Thaudugoli
180,54A,State Bank to Thaudugoli,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Deralakatte;Natekal;Manjanady;Thaudugoli
181,54B,State Bank to Hoohakuvakallu,State Bank;RTO;Pandeshwar;Mulihithlu;Morgans Gate;Jeppinamogaru;Thokottu;Manjanady;Narya;Hoohakuvakallu
182,55,State Bank to Pavoor,State Bank;Balmatta;Jyothi;Kankanady;Pumpwell;Thokkottu;Kuthar;Deralakatte;Natekal;Konaje;Fajir;Harekal;Pavoor
183,59,State Bank to Surathkal,State Bank;K.S. Rao Road;PVS;Empire Mall;Ballalbagh;Lalbagh;Ladyhill;Kuloor;Baikampady;Chitrapur;Hosabettu;Surathkal
184,60,Anandanagar to Gorigudde,Anandanagar;Nandanapura;Ladyhill;Bejai;Museum;Kadri Temple;Mangalore Junction;Valencia;Gorigudde
185,60B,Lady Hill to Akashabhavan,Lady Hill;Kottara;Akashabhavan
186,61,Kodikal to Mangalore Junction,Kodikal;Kodikal Cross;Ladyhill;Bejai;Museum;Kadri Temple;Pumpwell;Padil;Mangalore Junction
188,62A,Padil Railway Station to Kaatipalla,Padil Railway Station;KPT;Bondel;Kavoor;Kuloor;Kaikamba;Kaatipalla
189,65,Kankanady Railway Station to Kaikamba,Kankanady Railway Station;Kuntikana;Surathkal;Kaikamba
190,65E,Kankanady to Ganeshapura,Kankanady;Kottara;Ganeshapura
191,65G,Kankanady to Janatha Colony,Kankanady;Nanthoor;Janatha Colony
